station_name,city,datetime,air_temperature,air_temperature_dew_point,wind_speed_rate,visibility_distance,Season_name,month,hour
PRINCE MOHAMMAD BIN ABDULAZIZ,PRINCE MOHAMMAD BIN ABDULAZIZ,2025-08-24 20:00:00,34,22,6.2,9900,Summer,8,20
KING ABDULAZIZ AB,KING ABDULAZIZ AB,2025-08-24 20:00:00,33,23,1.5,9900,Summer,8,20
DAMMAM (KING FAHD INT. AIRPORT),DAMMAM (KING FAHD INT. AIRPORT),2025-08-24 20:00:00,33,19,1,9900,Summer,8,20
QAISUMAH,QAISUMAH,2025-08-24 20:00:00,34,-2,2.1,9900,Summer,8,20
RAFHA,RAFHA,2025-08-24 20:00:00,31,1,0,9900,Summer,8,20
ABHA,ABHA,2025-08-24 20:00:00,18,18,2.6,9999,Summer,8,20
TAIF,TAIF,2025-08-24 20:00:00,24,20,6.2,9900,Summer,8,20
TURAIF,TURAIF,2025-08-24 20:00:00,29,5,6.2,9900,Summer,8,20
SHARURAH,SHARURAH,2025-08-24 20:00:00,30,15,7.7,2000,Summer,8,20
KING KHALED AB,KING KHALED AB,2025-08-24 20:00:00,19,15,1.5,9999,Summer,8,20
KING ABDULAZIZ INTL,KING ABDULAZIZ INTL,2025-08-24 20:00:00,33,26,3.1,9999,Summer,8,20
PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,2025-08-24 20:00:00,36,14,0,9900,Summer,8,20
TABUK,TABUK,2025-08-24 20:00:00,33,1,4.6,9900,Summer,8,20
GURIAT,GURIAT,2025-08-24 20:00:00,29,11,5.1,9900,Summer,8,20
BISHA,BISHA,2025-08-24 20:00:00,29,18,4.6,9999,Summer,8,20
TAIF,TAIF,2025-08-24 19:00:00,25,20,5.1,9999,Summer,8,19
PRINCE MOHAMMAD BIN ABDULAZIZ,PRINCE MOHAMMAD BIN ABDULAZIZ,2025-08-24 19:00:00,36,22,5.7,9900,Summer,8,19
DAMMAM (KING FAHD INT. AIRPORT),DAMMAM (KING FAHD INT. AIRPORT),2025-08-24 19:00:00,34,21,2.1,9900,Summer,8,19
HAIL,HAIL,2025-08-24 19:00:00,35,1,1,9900,Summer,8,19
WEJH,WEJH,2025-08-24 19:00:00,30,26,1.5,9900,Summer,8,19
TABUK,TABUK,2025-08-24 19:00:00,35,4,2.6,9900,Summer,8,19
RAFHA,RAFHA,2025-08-24 19:00:00,34,2,1.5,9900,Summer,8,19
BISHA,BISHA,2025-08-24 19:00:00,30,16,5.1,9999,Summer,8,19
KING KHALED AB,KING KHALED AB,2025-08-24 19:00:00,20,14,1.5,9999,Summer,8,19
AL BAHA,AL BAHA,2025-08-24 19:00:00,26,15,3.1,9900,Summer,8,19
KING ABDULAZIZ AB,KING ABDULAZIZ AB,2025-08-24 19:00:00,34,27,1,9900,Summer,8,19
QAISUMAH,QAISUMAH,2025-08-24 19:00:00,37,-2,2.6,9900,Summer,8,19
AL JOUF,AL JOUF,2025-08-24 19:00:00,34,4,2.1,9900,Summer,8,19
WADI AL DAWASIR,WADI AL DAWASIR,2025-08-24 19:00:00,36,11,5.1,9900,Summer,8,19
NEJRAN,NEJRAN,2025-08-24 19:00:00,27,17,3.1,9999,Summer,8,19
AL AHSA,AL AHSA,2025-08-24 19:00:00,36,10,2.1,9900,Summer,8,19
GASSIM,GASSIM,2025-08-24 19:00:00,36,-3,3.6,9900,Summer,8,19
KING ABDULLAH BIN ABDULAZIZ,KING ABDULLAH BIN ABDULAZIZ,2025-08-24 19:00:00,31,25,1,9900,Summer,8,19
YENBO,YENBO,2025-08-24 19:00:00,33,29,0,9900,Summer,8,19
PRINCE SALMAN BIN ABDULAZIZ,PRINCE SALMAN BIN ABDULAZIZ,2025-08-24 19:00:00,31,-6,2.1,9900,Summer,8,19
PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,2025-08-24 19:00:00,37,15,4.1,9900,Summer,8,19
ARAR,ARAR,2025-08-24 19:00:00,36,1,3.1,9900,Summer,8,19
TURAIF,TURAIF,2025-08-24 19:00:00,31,4,5.1,9900,Summer,8,19
ABHA,ABHA,2025-08-24 19:00:00,18,18,0,9999,Summer,8,19
KING ABDULAZIZ INTL,KING ABDULAZIZ INTL,2025-08-24 19:00:00,33,26,3.6,9999,Summer,8,19
KING KHALED INTL,KING KHALED INTL,2025-08-24 19:00:00,35,-2,1,9900,Summer,8,19
GURIAT,GURIAT,2025-08-24 19:00:00,31,10,6.2,9900,Summer,8,19
SHARURAH,SHARURAH,2025-08-24 19:00:00,32,16,7.7,4000,Summer,8,19
SHARURAH,SHARURAH,2025-08-24 18:28:00,32,17,9.3,3000,Summer,8,18
PRINCE MOHAMMAD BIN ABDULAZIZ,PRINCE MOHAMMAD BIN ABDULAZIZ,2025-08-24 18:00:00,37,22,5.7,10000,Summer,8,18
AL AHSA,AL AHSA,2025-08-24 18:00:00,37.8,10,4.1,10000,Summer,8,18
KING ABDULAZIZ AB,KING ABDULAZIZ AB,2025-08-24 18:00:00,35,29,3.6,9900,Summer,8,18
DAMMAM (KING FAHD INT. AIRPORT),DAMMAM (KING FAHD INT. AIRPORT),2025-08-24 18:00:00,35,17,0,9900,Summer,8,18
HAIL,HAIL,2025-08-24 18:00:00,36,1,2.1,10000,Summer,8,18
TABUK,TABUK,2025-08-24 18:00:00,36.6,4,2.6,10000,Summer,8,18
QAISUMAH,QAISUMAH,2025-08-24 18:00:00,39,-2,2.6,9900,Summer,8,18
TURAIF,TURAIF,2025-08-24 18:00:00,32,-2,4.1,9900,Summer,8,18
BISHA,BISHA,2025-08-24 18:00:00,30.5,16,6.7,10000,Summer,8,18
WADI AL DAWASIR,WADI AL DAWASIR,2025-08-24 18:00:00,37.5,6,3.1,10000,Summer,8,18
WADI AL DAWASIR,WADI AL DAWASIR,2025-08-24 18:00:00,38,6,3.1,9900,Summer,8,18
AL BAHA,AL BAHA,2025-08-24 18:00:00,27,15,6.2,9900,Summer,8,18
KING ABDULLAH BIN ABDULAZIZ,KING ABDULLAH BIN ABDULAZIZ,2025-08-24 18:00:00,31.4,25,0,10000,Summer,8,18
YENBO,YENBO,2025-08-24 18:00:00,32.8,29,2.1,10000,Summer,8,18
YENBO,YENBO,2025-08-24 18:00:00,33,29,2.1,9900,Summer,8,18
KING KHALED INTL,KING KHALED INTL,2025-08-24 18:00:00,35.3,-2,1.5,10000,Summer,8,18
DAMMAM (KING FAHD INT. AIRPORT),DAMMAM (KING FAHD INT. AIRPORT),2025-08-24 18:00:00,34.9,17,0,10000,Summer,8,18
PRINCE SALMAN BIN ABDULAZIZ,PRINCE SALMAN BIN ABDULAZIZ,2025-08-24 18:00:00,33,-5,2.1,9900,Summer,8,18
PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,2025-08-24 18:00:00,38,14,5.1,9900,Summer,8,18
RAFHA,RAFHA,2025-08-24 18:00:00,35,1,2.1,9900,Summer,8,18
GURIAT,GURIAT,2025-08-24 18:00:00,32.4,9,7.2,10000,Summer,8,18
TURAIF,TURAIF,2025-08-24 18:00:00,32.3,-2,4.1,10000,Summer,8,18
BISHA,BISHA,2025-08-24 18:00:00,31,16,6.7,9999,Summer,8,18
SHARURAH,SHARURAH,2025-08-24 18:00:00,36,14,2.1,9999,Summer,8,18
ABHA,ABHA,2025-08-24 18:00:00,17,17,0,9999,Summer,8,18
TAIF,TAIF,2025-08-24 18:00:00,26.6,14,3.1,10000,Summer,8,18
AL BAHA,AL BAHA,2025-08-24 18:00:00,26.7,15,6.2,10000,Summer,8,18
KING ABDULAZIZ INTL,KING ABDULAZIZ INTL,2025-08-24 18:00:00,33.8,26,4.6,10000,Summer,8,18
KING ABDULAZIZ INTL,KING ABDULAZIZ INTL,2025-08-24 18:00:00,34,26,4.6,9999,Summer,8,18
AL-DAWADAMI,AL-DAWADAMI,2025-08-24 18:00:00,33,-5,2.1,10000,Summer,8,18
AL AHSA,AL AHSA,2025-08-24 18:00:00,38,10,4.1,9900,Summer,8,18
WEJH,WEJH,2025-08-24 18:00:00,30.4,26,0,10000,Summer,8,18
WEJH,WEJH,2025-08-24 18:00:00,30,26,0,9900,Summer,8,18
RAFHA,RAFHA,2025-08-24 18:00:00,35.5,1,2.1,10000,Summer,8,18
PRINCE MOHAMMAD BIN ABDULAZIZ,PRINCE MOHAMMAD BIN ABDULAZIZ,2025-08-24 18:00:00,37,22,5.7,9900,Summer,8,18
GASSIM,GASSIM,2025-08-24 18:00:00,36.7,-5,4.1,10000,Summer,8,18
GASSIM,GASSIM,2025-08-24 18:00:00,37,-5,4.1,9900,Summer,8,18
PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,2025-08-24 18:00:00,37.7,14,5.1,10000,Summer,8,18
HAIL,HAIL,2025-08-24 18:00:00,36,1,2.1,9900,Summer,8,18
QAISUMAH,QAISUMAH,2025-08-24 18:00:00,38.5,-2,2.6,10000,Summer,8,18
AL JOUF,AL JOUF,2025-08-24 18:00:00,35,4,3.6,9900,Summer,8,18
ARAR,ARAR,2025-08-24 18:00:00,36.8,-1,0,10000,Summer,8,18
ARAR,ARAR,2025-08-24 18:00:00,37,-1,0,9900,Summer,8,18
SHARURAH,SHARURAH,2025-08-24 18:00:00,35.7,14,2.1,10000,Summer,8,18
MINA,MINA,2025-08-24 18:00:00,31.4,24,1.5,10000,Summer,8,18
ABHA,ABHA,2025-08-24 18:00:00,17.4,17,0,10000,Summer,8,18
TAIF,TAIF,2025-08-24 18:00:00,27,14,3.1,9999,Summer,8,18
NEJRAN,NEJRAN,2025-08-24 18:00:00,27.1,17,3.1,10000,Summer,8,18
NEJRAN,NEJRAN,2025-08-24 18:00:00,27,17,3.1,9999,Summer,8,18
KING ABDULLAH BIN ABDULAZIZ,KING ABDULLAH BIN ABDULAZIZ,2025-08-24 18:00:00,31,25,0,9900,Summer,8,18
KING KHALED INTL,KING KHALED INTL,2025-08-24 18:00:00,35,-2,1.5,9900,Summer,8,18
TABUK,TABUK,2025-08-24 18:00:00,37,4,2.6,9900,Summer,8,18
AL JOUF,AL JOUF,2025-08-24 18:00:00,35.1,4,3.6,10000,Summer,8,18
GURIAT,GURIAT,2025-08-24 18:00:00,32,9,7.2,9900,Summer,8,18
KING KHALED AB,KING KHALED AB,2025-08-24 18:00:00,18.6,14,0,10000,Summer,8,18
KING KHALED AB,KING KHALED AB,2025-08-24 18:00:00,19,14,0,9999,Summer,8,18
NEJRAN,NEJRAN,2025-08-24 17:00:00,29,18,4.1,5000,Summer,8,17
KING ABDULLAH BIN ABDULAZIZ,KING ABDULLAH BIN ABDULAZIZ,2025-08-24 17:00:00,32,25,2.1,9999,Summer,8,17
KING KHALED INTL,KING KHALED INTL,2025-08-24 17:00:00,38,-2,2.1,9900,Summer,8,17
PRINCE MOHAMMAD BIN ABDULAZIZ,PRINCE MOHAMMAD BIN ABDULAZIZ,2025-08-24 17:00:00,39,19,5.7,9999,Summer,8,17
AL AHSA,AL AHSA,2025-08-24 17:00:00,38,2,3.6,9900,Summer,8,17
PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,2025-08-24 17:00:00,39,13,6.2,9999,Summer,8,17
TABUK,TABUK,2025-08-24 17:00:00,38,4,2.6,9900,Summer,8,17
SHARURAH,SHARURAH,2025-08-24 17:00:00,35,14,0,9999,Summer,8,17
WADI AL DAWASIR,WADI AL DAWASIR,2025-08-24 17:00:00,39,6,2.6,9999,Summer,8,17
TAIF,TAIF,2025-08-24 17:00:00,26,16,4.1,9999,Summer,8,17
YENBO,YENBO,2025-08-24 17:00:00,33,29,2.6,9900,Summer,8,17
HAIL,HAIL,2025-08-24 17:00:00,37,0,5.1,9900,Summer,8,17
WEJH,WEJH,2025-08-24 17:00:00,31,26,1.5,9900,Summer,8,17
QAISUMAH,QAISUMAH,2025-08-24 17:00:00,39,-2,2.1,9900,Summer,8,17
RAFHA,RAFHA,2025-08-24 17:00:00,37,2,2.6,9900,Summer,8,17
ARAR,ARAR,2025-08-24 17:00:00,38,0,0,9900,Summer,8,17
TURAIF,TURAIF,2025-08-24 17:00:00,34,-5,3.1,9900,Summer,8,17
AL BAHA,AL BAHA,2025-08-24 17:00:00,28,14,3.1,9999,Summer,8,17
KING ABDULAZIZ INTL,KING ABDULAZIZ INTL,2025-08-24 17:00:00,34,27,3.6,9999,Summer,8,17
PRINCE SALMAN BIN ABDULAZIZ,PRINCE SALMAN BIN ABDULAZIZ,2025-08-24 17:00:00,35,-6,2.1,9900,Summer,8,17
GURIAT,GURIAT,2025-08-24 17:00:00,34,5,5.1,9900,Summer,8,17
KING ABDULAZIZ AB,KING ABDULAZIZ AB,2025-08-24 17:00:00,37,21,3.1,9900,Summer,8,17
DAMMAM (KING FAHD INT. AIRPORT),DAMMAM (KING FAHD INT. AIRPORT),2025-08-24 17:00:00,36,17,2.1,9900,Summer,8,17
GASSIM,GASSIM,2025-08-24 17:00:00,38,-4,3.1,9900,Summer,8,17
KING KHALED AB,KING KHALED AB,2025-08-24 17:00:00,18,13,2.6,9999,Summer,8,17
ABHA,ABHA,2025-08-24 17:00:00,17,17,2.6,9999,Summer,8,17
AL JOUF,AL JOUF,2025-08-24 17:00:00,37,5,5.7,9900,Summer,8,17
BISHA,BISHA,2025-08-24 17:00:00,34,12,5.7,9999,Summer,8,17
KING ABDULAZIZ AB,KING ABDULAZIZ AB,2025-08-24 16:00:00,39,14,3.1,9900,Summer,8,16
RAFHA,RAFHA,2025-08-24 16:00:00,39,4,3.1,9900,Summer,8,16
ARAR,ARAR,2025-08-24 16:00:00,40,-2,1.5,9900,Summer,8,16
ABHA,ABHA,2025-08-24 16:00:00,16,15,4.1,8000,Summer,8,16
BISHA,BISHA,2025-08-24 16:00:00,37,4,2.6,9999,Summer,8,16
TAIF,TAIF,2025-08-24 16:00:00,27,18,3.1,9999,Summer,8,16
NEJRAN,NEJRAN,2025-08-24 16:00:00,28,17,4.1,2000,Summer,8,16
KING ABDULLAH BIN ABDULAZIZ,KING ABDULLAH BIN ABDULAZIZ,2025-08-24 16:00:00,32,25,3.1,9999,Summer,8,16
KING KHALED INTL,KING KHALED INTL,2025-08-24 16:00:00,40,-3,2.6,9900,Summer,8,16
PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,2025-08-24 16:00:00,41,11,7.7,9999,Summer,8,16
SHARURAH,SHARURAH,2025-08-24 16:00:00,36,14,3.1,9999,Summer,8,16
WADI AL DAWASIR,WADI AL DAWASIR,2025-08-24 16:00:00,40,5,3.1,9999,Summer,8,16
KING ABDULAZIZ INTL,KING ABDULAZIZ INTL,2025-08-24 16:00:00,34,26,4.6,9999,Summer,8,16
GASSIM,GASSIM,2025-08-24 16:00:00,40,-1,2.6,9900,Summer,8,16
HAIL,HAIL,2025-08-24 16:00:00,38,0,4.1,9900,Summer,8,16
WEJH,WEJH,2025-08-24 16:00:00,31,25,3.1,9900,Summer,8,16
TABUK,TABUK,2025-08-24 16:00:00,39,4,3.1,9900,Summer,8,16
AL JOUF,AL JOUF,2025-08-24 16:00:00,38,6,6.2,9900,Summer,8,16
PRINCE MOHAMMAD BIN ABDULAZIZ,PRINCE MOHAMMAD BIN ABDULAZIZ,2025-08-24 16:00:00,40,18,6.2,9999,Summer,8,16
PRINCE SALMAN BIN ABDULAZIZ,PRINCE SALMAN BIN ABDULAZIZ,2025-08-24 16:00:00,37,-4,2.6,9900,Summer,8,16
QAISUMAH,QAISUMAH,2025-08-24 16:00:00,41,-2,2.1,9900,Summer,8,16
TURAIF,TURAIF,2025-08-24 16:00:00,36,-5,4.1,9900,Summer,8,16
AL BAHA,AL BAHA,2025-08-24 16:00:00,28,13,5.1,9999,Summer,8,16
YENBO,YENBO,2025-08-24 16:00:00,33,28,4.1,9900,Summer,8,16
AL AHSA,AL AHSA,2025-08-24 16:00:00,40,3,3.1,9900,Summer,8,16
DAMMAM (KING FAHD INT. AIRPORT),DAMMAM (KING FAHD INT. AIRPORT),2025-08-24 16:00:00,38,17,3.1,9900,Summer,8,16
GURIAT,GURIAT,2025-08-24 16:00:00,36,3,8.2,9900,Summer,8,16
KING KHALED AB,KING KHALED AB,2025-08-24 16:00:00,18,13,2.1,9999,Summer,8,16
ABHA,ABHA,2025-08-24 15:12:00,15,15,2.6,6000,Summer,8,15
ABHA,ABHA,2025-08-24 15:00:00,15.9,14,5.1,1000,Summer,8,15
KING ABDULLAH BIN ABDULAZIZ,KING ABDULLAH BIN ABDULAZIZ,2025-08-24 15:00:00,31.6,25,4.6,10000,Summer,8,15
KING KHALED INTL,KING KHALED INTL,2025-08-24 15:00:00,40.9,-4,3.6,10000,Summer,8,15
DAMMAM (KING FAHD INT. AIRPORT),DAMMAM (KING FAHD INT. AIRPORT),2025-08-24 15:00:00,41,8,4.6,9900,Summer,8,15
HAIL,HAIL,2025-08-24 15:00:00,39,1,5.1,9900,Summer,8,15
QAISUMAH,QAISUMAH,2025-08-24 15:00:00,42.5,-2,4.1,10000,Summer,8,15
QAISUMAH,QAISUMAH,2025-08-24 15:00:00,43,-2,4.1,9900,Summer,8,15
AL JOUF,AL JOUF,2025-08-24 15:00:00,39.3,6,6.7,10000,Summer,8,15
GURIAT,GURIAT,2025-08-24 15:00:00,39,0,8.2,9900,Summer,8,15
TURAIF,TURAIF,2025-08-24 15:00:00,37.5,-4,3.1,10000,Summer,8,15
WADI AL DAWASIR,WADI AL DAWASIR,2025-08-24 15:00:00,41.6,5,1.5,10000,Summer,8,15
KING KHALED AB,KING KHALED AB,2025-08-24 15:00:00,17,14,2.6,9999,Summer,8,15
AL BAHA,AL BAHA,2025-08-24 15:00:00,29.5,13,5.1,10000,Summer,8,15
YENBO,YENBO,2025-08-24 15:00:00,34,28,4.6,9999,Summer,8,15
PRINCE SALMAN BIN ABDULAZIZ,PRINCE SALMAN BIN ABDULAZIZ,2025-08-24 15:00:00,39,-5,1.5,9900,Summer,8,15
WEJH,WEJH,2025-08-24 15:00:00,31.6,25,4.1,10000,Summer,8,15
AL JOUF,AL JOUF,2025-08-24 15:00:00,39,6,6.7,9900,Summer,8,15
GURIAT,GURIAT,2025-08-24 15:00:00,38.6,0,8.2,10000,Summer,8,15
TURAIF,TURAIF,2025-08-24 15:00:00,38,-4,3.1,9900,Summer,8,15
ABHA,ABHA,2025-08-24 15:00:00,16,14,5.1,1000,Summer,8,15
WADI AL DAWASIR,WADI AL DAWASIR,2025-08-24 15:00:00,42,5,1.5,9999,Summer,8,15
AL BAHA,AL BAHA,2025-08-24 15:00:00,30,13,5.1,9999,Summer,8,15
NEJRAN,NEJRAN,2025-08-24 15:00:00,33,13,4.1,10000,Summer,8,15
KING ABDULAZIZ INTL,KING ABDULAZIZ INTL,2025-08-24 15:00:00,35.1,26,5.1,10000,Summer,8,15
AL-DAWADAMI,AL-DAWADAMI,2025-08-24 15:00:00,39,-5,1.5,10000,Summer,8,15
PRINCE MOHAMMAD BIN ABDULAZIZ,PRINCE MOHAMMAD BIN ABDULAZIZ,2025-08-24 15:00:00,43.2,8,5.7,10000,Summer,8,15
KING ABDULAZIZ AB,KING ABDULAZIZ AB,2025-08-24 15:00:00,40,14,4.6,9900,Summer,8,15
GASSIM,GASSIM,2025-08-24 15:00:00,42,1,2.1,9900,Summer,8,15
PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,2025-08-24 15:00:00,43,10,5.1,9900,Summer,8,15
RAFHA,RAFHA,2025-08-24 15:00:00,42,4,4.6,9900,Summer,8,15
BISHA,BISHA,2025-08-24 15:00:00,37,5,3.6,9999,Summer,8,15
SHARURAH,SHARURAH,2025-08-24 15:00:00,37,14,4.1,9999,Summer,8,15
TAIF,TAIF,2025-08-24 15:00:00,28,18,6.2,10000,Summer,8,15
KING ABDULLAH BIN ABDULAZIZ,KING ABDULLAH BIN ABDULAZIZ,2025-08-24 15:00:00,32,25,4.6,9999,Summer,8,15
GASSIM,GASSIM,2025-08-24 15:00:00,41.7,1,2.1,10000,Summer,8,15
